simulation,mass1,radius1,logg1,mass2,radius2,logg2
01487,1.31975,3.02990,3.59570,0.45216,0.79085,4.29717
01488,1.04078,0.55822,4.96182,1.20370,3.91981,3.33206
01489,1.22107,4.44766,3.22855,1.49940,6.10212,3.04302
01490,1.05869,3.80437,3.30227,0.37318,1.15379,3.88574
01491,1.14139,0.60666,4.92961,0.95809,1.40082,4.12671
01492,1.15572,2.13982,3.84017,0.53140,0.55318,4.67776
01493,1.02729,2.09096,3.80907,0.50273,2.95964,3.19692
01494,1.14033,0.94808,4.54141,1.28852,1.16851,4.41289
01495,1.01892,3.78592,3.28987,1.38983,2.17833,3.90478
01496,1.03902,4.14169,3.22034,0.73960,0.48557,4.93455
01497,1.37252,2.21146,3.88623,0.98812,2.06265,3.80403
01498,1.17972,1.43962,4.19335,0.55086,1.20325,4.01840
01499,1.13699,4.18078,3.25131,0.85031,3.38159,3.30940
01500,1.11154,3.61491,3.36780,0.53379,3.81237,3.00305
01501,1.39195,1.30479,4.35061,1.30071,4.88318,3.17484
01502,1.24983,4.86064,3.16153,1.67055,2.11422,4.01063
01503,1.33139,1.68020,4.11165,1.71967,1.78836,4.16860
01504,1.13688,0.84118,4.64401,1.09699,2.30131,3.75432
01505,1.07440,2.14600,3.80597,1.10231,0.98488,4.49361
01506,1.13075,4.26520,3.23155,0.30953,2.17280,3.25472
01507,1.26280,0.73281,4.80942,1.10891,3.30941,3.44346
01508,1.33840,1.76090,4.07319,1.58384,1.54594,4.25940
01509,1.19789,3.60640,3.40234,0.89802,2.05667,3.76503
01510,1.33115,1.10115,4.47860,0.85638,4.17432,3.12956
01511,1.36451,2.58463,3.74825,0.61813,1.19479,4.07456
01512,1.05624,0.84757,4.60548,0.19070,1.41460,3.41716
01513,1.22266,1.12169,4.42563,0.27263,2.59320,3.04597
01514,1.27221,2.39316,3.78468,1.47034,2.99819,3.65177
01515,1.03719,0.65500,4.82145,0.71928,1.47667,3.95640
01516,1.18004,2.63917,3.66703,1.42410,1.78655,4.08758
01517,1.09051,0.72151,4.75921,0.55587,0.77909,4.39986
01518,1.01573,1.28205,4.22904,0.22185,0.63465,4.17905
01519,1.29711,0.73164,4.82245,0.57367,1.01489,4.18389
01520,1.13158,5.40095,3.02681,1.56213,0.74266,4.89020
01521,1.20629,0.93683,4.57620,1.04100,3.82393,3.29050
01522,1.27863,5.05741,3.13696,0.89889,2.39398,3.63353
01523,1.09918,1.53955,4.10435,0.52940,0.91519,4.23884
01524,1.13804,4.00460,3.28911,1.63882,4.40162,3.36537
01525,1.07566,1.78055,3.96863,1.20280,4.97720,3.12429
01526,1.16706,2.74435,3.62828,1.08697,1.45988,4.14565
01527,1.08957,1.01535,4.46209,1.34763,3.68728,3.43423
01528,1.24557,2.14528,3.87047,1.04456,5.20940,3.02342
01529,1.21289,0.93697,4.57844,0.24386,1.64395,3.39343
01530,1.21981,4.66432,3.18679,0.46140,0.91750,4.17693
01531,1.38026,0.98545,4.59076,0.42076,0.53170,4.61076
01532,1.38937,2.48953,3.78865,0.61797,0.82325,4.39798
01533,1.39039,0.83668,4.73609,0.34889,0.99308,3.98678
01534,1.26313,5.07031,3.12945,1.30731,1.55000,4.17379
01535,1.35806,2.52180,3.76757,0.34614,0.33537,4.92627
01536,1.35626,0.61946,4.98638,0.58218,3.44656,3.12835
01537,1.28932,1.38670,4.26446,1.84441,1.54484,4.32616
01538,1.03601,0.97454,4.47583,0.64885,0.49929,4.85350
01539,1.34084,1.60672,4.15357,0.49681,1.37569,3.85722
01540,1.23480,4.72458,3.18094,1.26744,0.71462,4.83284
01541,1.17719,1.62843,4.08538,0.29232,0.97767,3.92354
01542,1.08306,1.63005,4.04832,0.93220,3.68855,3.27386
01543,1.24031,0.86782,4.65474,1.59673,0.72633,4.91904
01544,1.28365,3.30665,3.50774,1.04922,2.29629,3.73688
01545,1.09528,5.08805,3.06449,0.39197,1.04778,3.99078
01546,1.27184,2.57936,3.71947,1.65075,1.79019,4.14995
01547,1.00365,1.66270,3.99802,1.01521,1.22332,4.26954
01548,1.10009,1.09138,4.40354,0.46221,3.13284,3.11103
01549,1.18586,1.36051,4.24469,0.75183,1.37637,4.03671
01550,1.27792,0.91540,4.62135,1.07699,3.66914,3.34115
01551,1.35734,4.15920,3.33274,1.90125,2.85679,3.80535
01552,1.31372,3.07379,3.58122,1.01879,1.25470,4.24907
01553,1.19757,0.59839,4.96240,0.41642,0.62386,4.46742
01554,1.10837,5.04103,3.07771,0.68753,1.30057,4.04709
01555,1.14548,0.99933,4.49764,0.41856,1.45115,3.73640
01556,1.03057,0.81834,4.62527,0.94817,1.69704,3.95557
01557,1.29402,1.38786,4.26532,0.40989,0.33868,4.99117
01558,1.37890,1.74886,4.09209,0.60033,2.32369,3.48410
01559,1.25204,1.64447,4.10363,1.40786,4.76687,3.23016
01560,1.22072,2.07226,3.89180,1.62378,1.12550,4.54590
01561,1.32995,0.71582,4.85230,0.50802,1.33821,3.89090
01562,1.25584,0.96102,4.57153,0.78615,0.49523,4.94395
01563,1.24467,0.59805,4.97965,1.47734,5.87761,3.06915
01564,1.14510,1.43828,4.18122,0.86218,0.51808,4.94487
01565,1.37363,1.03070,4.54967,0.53435,2.38952,3.40927
01566,1.38927,0.88229,4.68963,1.79984,2.66029,3.84344
01567,1.28734,1.36403,4.27812,0.57064,3.40103,3.13121
01568,1.33765,1.46132,4.23492,1.28504,4.83768,3.17771
01569,1.04398,1.02602,4.43445,1.05019,0.96024,4.49458
01570,1.37644,1.85692,4.03924,1.14925,1.11523,4.40376
01571,1.14275,0.99457,4.50075,0.61516,0.52221,4.79137
01572,1.12483,0.69587,4.80410,0.96729,2.44195,3.64815
01573,1.21398,4.11536,3.29346,1.26690,2.77086,3.65558
01574,1.10193,0.93689,4.53684,0.65531,0.97569,4.27589
01575,1.38751,5.59562,3.08461,1.84079,3.78223,3.54758
01576,1.25123,4.51201,3.22666,1.68908,0.97631,4.68654
01577,1.28851,4.82389,3.18136,0.16590,1.03795,3.62556
01578,1.30731,1.47264,4.21825,0.87398,0.96468,4.41080
01579,1.38055,1.69416,4.12021,0.27423,1.96643,3.28882
01580,1.17837,0.70550,4.81236,1.52951,3.34699,3.57331
01581,1.00942,1.13096,4.33525,0.37611,1.94563,3.43527
01582,1.00765,1.53151,4.07114,1.13357,4.33197,3.21914
01583,1.11534,2.08780,3.84610,0.91815,1.67286,3.95406
01584,1.18395,3.56324,3.40771,1.36381,0.95007,4.61731
01585,1.00382,0.89014,4.54081,1.37957,5.04116,3.17275
01586,1.25617,2.76898,3.65247,1.53790,3.50616,3.53533
01587,1.08374,1.28031,4.25837,0.82552,1.03800,4.32240
01588,1.05775,4.75593,3.10798,1.24291,0.87005,4.65342
01589,1.21882,2.37613,3.77226,1.61153,5.16359,3.21940
01590,1.30274,3.83921,3.38444,0.82735,1.22623,4.17861
01591,1.13018,2.35135,3.74858,0.53061,0.59680,4.61119
01592,1.18282,5.08136,3.09903,1.63887,0.99514,4.65685
01593,1.37251,5.72597,3.05989,0.18314,1.61402,3.28505
01594,1.37098,3.48637,3.49035,1.49788,5.86265,3.07736
01595,1.25613,0.95712,4.57517,1.63642,6.65100,3.00619
01596,1.11017,5.19124,3.05292,1.28895,3.60816,3.43373
01597,1.23900,3.01393,3.57287,1.84100,1.34225,4.44745
01598,1.31908,3.83968,3.38975,0.55642,1.49950,3.83158
01599,1.20233,5.47246,3.04173,0.90801,1.49698,4.04572
01600,1.04456,0.81073,4.63924,1.27787,1.08271,4.47553
01601,1.38932,1.87361,4.03551,0.27082,0.73703,4.13579
01602,1.19174,1.58920,4.11189,0.48994,1.69902,3.66781
01603,1.12947,1.00669,4.48515,0.32079,2.43285,3.17206
01604,1.16488,4.64670,3.17006,0.52890,0.62232,4.57341
01605,1.28042,1.48598,4.20139,0.98930,1.77019,3.93736
01606,1.03573,2.33000,3.71860,0.12925,1.78333,3.04705
01607,1.04345,2.15990,3.78767,1.33412,1.66959,4.11804
01608,1.20519,3.49234,3.43289,1.21310,1.14736,4.40256
01609,1.05993,2.85103,3.55334,0.25180,0.83049,4.00045
01610,1.01725,1.97526,3.85425,0.80450,2.02127,3.73234
01611,1.19892,5.06926,3.10697,0.19689,0.41358,4.49918
01612,1.11496,0.71708,4.77419,1.46205,5.76762,3.08104
01613,1.33625,2.99528,3.61108,0.32482,0.71818,4.23724
01614,1.24939,1.66572,4.09156,0.62062,1.42300,3.92448
01615,1.29361,5.11943,3.13143,0.60158,1.16189,4.08703
01616,1.27787,3.50654,3.45479,0.30456,0.64528,4.30224
01617,1.22283,3.47513,3.44349,1.50416,2.17211,3.94160
01618,1.11457,4.23988,3.23047,1.58817,6.47529,3.01644
01619,1.29549,3.38521,3.49133,1.54263,0.82086,4.79779
01620,1.15524,1.62877,4.07702,1.12525,5.51809,3.00574
01621,1.00897,1.07618,4.37818,0.59286,2.02738,3.59715
01622,1.12102,1.02254,4.46832,0.74624,0.78119,4.52543
01623,1.15830,4.32268,3.23038,0.29889,0.87451,4.03004
01624,1.34937,1.26636,4.36309,0.40337,0.93007,4.10674
01625,1.27819,1.64070,4.11461,1.64516,1.15426,4.52967
01626,1.11414,0.72280,4.76698,1.58632,3.23004,3.62004
01627,1.11553,0.90463,4.57261,0.49047,0.42923,4.86330
01628,1.15274,4.55775,3.18230,1.05678,1.87246,3.91723
01629,1.09344,1.09556,4.39759,0.19965,1.55726,3.35361
01630,1.25705,1.31541,4.29930,0.73494,2.39146,3.54700
01631,1.06040,2.39785,3.70390,0.20967,0.83535,3.91588
01632,1.19011,1.65300,4.07711,1.42284,1.93673,4.01708
01633,1.11686,2.52532,3.68143,0.60339,0.79172,4.42152
01634,1.40003,1.78242,4.08219,0.77467,0.65853,4.69003
01635,1.06055,3.94176,3.27222,0.41342,0.56401,4.55189
01636,1.21443,1.35440,4.25895,1.28056,3.60505,3.43165
01637,1.10164,1.22175,4.30614,0.24416,1.65702,3.38708
01638,1.12014,2.47731,3.69938,1.23682,1.77854,4.03025
01639,1.05192,3.36421,3.40628,0.15279,0.31686,4.62043
01640,1.33597,1.32140,4.32180,0.34531,2.21894,3.28398
01641,1.10850,1.37643,4.20530,1.02786,0.66769,4.80085
01642,1.01260,4.54170,3.12907,0.28847,0.37315,4.75442
01643,1.09055,4.78263,3.11638,1.38654,1.28931,4.35929
01644,1.28561,3.82394,3.38215,0.32691,0.35735,4.84631
01645,1.09776,0.64462,4.85996,1.13374,5.01143,3.09266
01646,1.08025,0.69423,4.78859,0.39343,0.99275,4.03926
01647,1.21024,0.93603,4.57836,0.89605,0.50721,4.98002
01648,1.27057,1.11826,4.44498,1.80159,4.80061,3.33113
01649,1.35841,4.57082,3.25111,1.11788,1.42941,4.17615
01650,1.02333,1.47503,4.11048,0.55325,0.77563,4.40168
01651,1.37682,0.81028,4.75967,0.35630,0.72038,4.27476
01652,1.01791,2.15036,3.78075,0.82961,1.38036,4.07696
01653,1.20425,1.60509,4.10779,1.18082,0.72725,4.78688
01654,1.19399,1.09705,4.43462,1.53589,1.02090,4.60646
01655,1.24068,0.63492,4.92629,1.69147,1.23752,4.48123
01656,1.05345,2.44375,3.68457,0.96127,1.94438,3.84335
01657,1.08622,2.46837,3.68917,0.40734,1.89993,3.49055
01658,1.01950,1.43411,4.13329,0.86402,1.14866,4.25421
01659,1.20702,1.69079,4.06360,0.40132,2.20446,3.35495
01660,1.03138,1.65447,4.01417,0.29105,2.07670,3.26729
01661,1.09796,2.17392,3.80417,1.28464,5.58055,3.05349
01662,1.03145,0.64331,4.83468,0.46417,1.82537,3.58205
01663,1.15522,1.20306,4.34016,1.02502,4.23477,3.19514
01664,1.39241,5.46388,3.10683,2.05601,0.80923,4.93495
01665,1.37790,2.79326,3.68506,1.26166,0.64393,4.92133
01666,1.25029,0.69617,4.84965,1.81400,0.75197,4.94430
01667,1.14214,1.01557,4.48237,0.61554,2.82429,3.32551
01668,1.31379,4.51823,3.24666,0.25051,0.72832,4.11225
01669,1.33277,4.00504,3.35761,1.63864,1.01138,4.64272
01670,1.29786,2.64828,3.70537,1.43507,1.80189,4.08349
01671,1.03178,3.29509,3.41592,1.12602,1.12562,4.38683
01672,1.07025,0.64019,4.85493,0.16654,0.82871,3.82277
01673,1.09380,3.95997,3.28162,1.13668,4.56523,3.17478
01674,1.29751,2.85729,3.63927,0.52045,1.57133,3.76191
01675,1.03450,0.69198,4.77261,1.47848,1.62353,4.18697
01676,1.16805,3.24182,3.48395,1.41706,1.23075,4.40911
01677,1.37808,2.75681,3.69653,1.64652,2.79545,3.76173
01678,1.17664,2.75575,3.62823,0.71325,3.27812,3.26006
01679,1.03624,4.81109,3.08904,1.27580,3.88679,3.36467
01680,1.23242,1.87275,3.98387,0.76902,0.95045,4.36814
01681,1.17976,1.84247,3.97906,0.14747,0.29648,4.66277
01682,1.17829,4.55494,3.19235,1.45527,4.29501,3.33508
01683,1.04190,0.59998,4.89962,1.20794,1.98912,3.92279
01684,1.10717,1.81946,3.96239,0.21692,0.68742,4.09992
01685,1.05367,2.12947,3.80423,0.85586,1.50441,4.01574
01686,1.29179,4.03597,3.33736,0.46242,2.54703,3.29104
01687,1.28509,5.64539,3.04361,0.90153,0.83669,4.54792
01688,1.39150,0.96833,4.60950,1.58760,0.89758,4.73266
01689,1.26043,2.09817,3.89491,1.51065,3.23102,3.59855
01690,1.16559,0.95026,4.54893,0.82669,2.06292,3.72644
01691,1.01373,2.22873,3.74787,1.49115,3.05564,3.64138
01692,1.33368,0.61042,4.99186,0.50069,1.86854,3.59463
01693,1.14987,3.53275,3.40249,1.10743,1.14066,4.36807
01694,1.22688,4.40936,3.23812,1.44128,4.10172,3.37088
01695,1.38539,1.93448,4.00651,1.98290,4.72990,3.38567
01696,1.34802,2.29756,3.84523,1.17419,0.87251,4.62627
01697,1.07434,5.27179,3.02529,1.14467,2.25162,3.79176
01698,1.20162,0.74061,4.77865,0.36108,0.42090,4.74731
01699,1.37752,3.80308,3.41689,0.97814,4.79448,3.06698
01700,1.18808,0.65711,4.87764,1.16435,1.20916,4.33919
01701,1.06140,1.72885,3.98843,1.20706,5.59243,3.02459
01702,1.34422,5.25566,3.12528,1.32053,1.12685,4.45509
01703,1.05062,2.14183,3.79794,1.43126,4.32467,3.32188
01704,1.08748,1.60238,4.06496,1.41434,2.85569,3.67720
01705,1.35426,5.84568,3.03610,1.52651,4.40790,3.33330
01706,1.18274,0.66027,4.87152,1.38841,0.63086,4.98071
01707,1.07901,1.26691,4.26560,1.54306,2.07803,3.99114
01708,1.37854,5.25380,3.13654,1.69458,6.08563,3.09852
01709,1.17523,5.06998,3.09818,1.44364,3.27050,3.56830
01710,1.29474,3.48286,3.46638,1.54211,5.15870,3.20110
01711,1.33665,1.36463,4.29406,1.74509,0.70458,4.98402
01712,1.11901,1.55529,4.10328,1.67061,0.99338,4.66672
01713,1.19456,1.04790,4.47464,1.24063,4.36314,3.25211
01714,1.32331,3.85320,3.38809,1.62446,3.45632,3.57155
01715,1.25781,5.79981,3.01085,1.26390,2.40847,3.77630
01716,1.29913,1.55118,4.17040,0.79999,2.09213,3.69998
01717,1.23937,0.78934,4.73673,0.60359,0.68946,4.54179
01718,1.18311,3.84594,3.34109,1.54901,1.07439,4.56580
01719,1.25206,5.57432,3.04331,0.17052,1.03591,3.63919
01720,1.12903,1.01676,4.47634,1.36436,0.67104,4.91950
01721,1.20915,2.31268,3.79232,0.97966,2.65084,3.58238
01722,1.25211,1.14092,4.42120,1.22705,4.53317,3.21413
01723,1.21802,0.79100,4.72737,0.77259,4.52389,3.01500
01724,1.34771,0.65533,4.93475,0.90807,1.73036,3.91991
01725,1.17450,1.11952,4.40986,0.32567,1.06563,3.89564
01726,1.20600,1.39879,4.22791,0.62003,0.42973,4.96408
01727,1.08634,1.37289,4.19876,1.52723,0.82382,4.79031
01728,1.28841,3.79371,3.38999,0.48361,0.56378,4.62035
01729,1.18617,1.32863,4.26541,0.15403,0.82404,3.79377
01730,1.33940,1.52718,4.19720,1.99264,0.90199,4.82709
01731,1.20429,5.11484,3.10114,1.46891,2.39955,3.84480
01732,1.24763,0.96243,4.56741,0.60057,1.82401,3.69457
01733,1.27097,4.08697,3.31940,0.80145,0.65396,4.71085
01734,1.10152,0.75774,4.72102,0.92108,0.67984,4.73756
01735,1.31505,2.59521,3.72866,0.29842,0.81999,4.08528
01736,1.10179,1.48615,4.13604,0.94434,4.92371,3.02861
01737,1.29391,4.92990,3.16430,0.60089,0.80883,4.40115
01738,1.20528,3.25752,3.49338,1.21848,2.65593,3.67545
01739,1.19158,3.47515,3.43224,0.39928,2.48815,3.24760
01740,1.31777,1.50675,4.20182,0.36126,1.13771,3.88382
01741,1.30909,0.90413,4.64257,1.37640,3.66411,3.44888
01742,1.38845,1.25823,4.38108,0.57419,0.40372,4.98497
01743,1.12657,3.02537,3.52827,0.43268,0.48313,4.70610
01744,1.20157,5.11261,3.10053,0.98912,2.47309,3.64684
01745,1.01952,2.71161,3.58001,1.16788,0.90162,4.59542
01746,1.11104,1.45903,4.15567,0.71256,0.49483,4.90198
01747,1.10172,2.88799,3.55895,0.74399,3.64382,3.18652
01748,1.29033,3.82314,3.38393,0.59880,0.40832,4.99336
01749,1.03517,4.24290,3.19775,1.53530,5.60292,3.12743
01750,1.29256,3.00375,3.59419,1.35086,1.08828,4.49520
01751,1.19309,0.93659,4.57164,1.64341,1.74934,4.16807
01752,1.05437,2.06728,3.83026,1.11113,4.04845,3.26925
01753,1.31959,2.10239,3.91308,1.77069,4.12567,3.45522
01754,1.17526,3.14841,3.51202,0.69972,0.96238,4.31630
01755,1.07546,0.88167,4.57905,1.20709,1.09017,4.44482
01756,1.16923,1.71019,4.03988,1.41517,1.03790,4.55656
01757,1.34725,1.70396,4.10460,1.04622,2.63032,3.61767
01758,1.28307,1.11968,4.44813,1.09677,0.85457,4.61468
01759,1.10864,3.97533,3.28411,1.42411,5.02449,3.18943
01760,1.38689,3.43116,3.50923,1.24804,2.10746,3.88678
01761,1.39882,2.94159,3.64667,2.08640,2.14602,4.09420
01762,1.18979,1.34217,4.25792,0.29296,0.57502,4.38551
01763,1.33134,5.04413,3.15679,1.73513,1.07562,4.61408
01764,1.10512,2.78698,3.59121,0.50258,0.58306,4.60785
01765,1.07221,1.72086,3.99685,0.35134,1.54258,3.60730
01766,1.07644,2.41730,3.70340,0.29857,0.73257,4.18342
01767,1.18396,0.98859,4.52137,1.10248,2.06176,3.85196
01768,1.24561,4.17906,3.29129,1.34171,2.78587,3.67581
01769,1.03882,1.56230,4.06708,0.46668,0.59294,4.56106
01770,1.13943,1.60015,4.08643,0.60636,0.45381,4.90706
01771,1.09240,2.59636,3.64772,0.40796,0.44239,4.75707
01772,1.08665,0.86167,4.60348,0.17703,1.18394,3.53946
01773,1.14963,1.81825,3.97932,0.56332,2.12263,3.53507
01774,1.03365,2.49803,3.65725,1.20717,3.18637,3.51324
01775,1.18022,1.03978,4.47614,1.07110,0.72757,4.74415
01776,1.10050,1.18823,4.32985,0.25565,0.28751,4.92843
01777,1.20966,2.30469,3.79551,0.16028,0.52977,4.19479
01778,1.00687,1.31241,4.20490,0.40873,2.52175,3.24610
01779,1.20778,0.84736,4.66392,1.04343,2.23030,3.75981
01780,1.34206,4.10158,3.33994,0.62262,0.61527,4.65417
01781,1.38979,1.75803,4.09096,0.77122,2.46182,3.54274
01782,1.01692,1.01734,4.43043,0.26026,0.72141,4.13712
01783,1.31183,0.73006,4.82923,1.48970,2.08629,3.97242
01784,1.35683,2.57575,3.74878,0.22705,0.27299,4.92191
01785,1.11396,0.61758,4.90355,0.88647,2.98917,3.43463
01786,1.00671,1.14693,4.32189,0.17174,0.59524,4.12357
01787,1.02442,2.42190,3.68024,1.10573,0.87542,4.59729
01788,1.23181,1.54322,4.15176,1.09994,2.16970,3.80664
01789,1.35185,4.82792,3.20148,1.99443,1.46201,4.40799
01790,1.14011,0.68849,4.81922,1.37279,1.36341,4.30642
01791,1.38052,0.66781,4.92880,1.98276,1.61419,4.31943
01792,1.37911,5.13816,3.15605,1.70367,2.80900,3.77235
01793,1.29443,1.48134,4.20884,0.55624,0.61133,4.61078
01794,1.28270,1.46243,4.21604,1.88954,1.60138,4.30544
01795,1.06493,3.15298,3.46795,1.00369,3.72500,3.29741
01796,1.19017,3.62383,3.39534,1.71827,4.79225,3.31208
01797,1.23809,2.54452,3.71961,0.52556,0.96483,4.18979
01798,1.25908,2.18291,3.86005,1.22397,5.71743,3.01144
01799,1.04866,3.99501,3.25567,1.16178,0.78663,4.71165
01800,1.34142,4.23410,3.31211,1.56387,5.90118,3.09039
01801,1.16689,0.74041,4.76615,1.49509,1.11859,4.51539
01802,1.00362,1.31879,4.19929,1.36721,1.35507,4.30998
01803,1.04741,1.27447,4.24753,0.79566,3.38363,3.28003
01804,1.00150,2.51041,3.63923,1.47863,1.08376,4.53806
01805,1.04325,4.21313,3.20725,0.13709,0.23414,4.83611
01806,1.10271,2.32539,3.74754,1.11643,3.92213,3.29886
01807,1.03115,0.58192,4.92166,1.49413,1.07498,4.54965
01808,1.21624,1.15776,4.39585,1.16890,1.66847,4.06121
01809,1.05284,2.89636,3.53673,0.45160,3.38131,3.03466
01810,1.12800,1.09825,4.40897,1.16468,2.49956,3.70855
01811,1.20439,1.55625,4.13467,1.79177,0.80559,4.87912
01812,1.11698,1.08471,4.41548,0.48162,3.47871,3.03794
01813,1.04259,1.60575,4.04482,0.49728,0.49536,4.74482
01814,1.10134,0.55190,4.99628,0.92834,1.13623,4.29484
01815,1.09428,0.63416,4.87280,0.31669,2.10175,3.29354
01816,1.39543,6.09181,3.01328,1.09683,2.28348,3.76101
01817,1.02856,2.88729,3.52931,0.58548,2.48315,3.41558
01818,1.17552,3.81153,3.34610,1.31503,5.72229,3.04186
01819,1.38521,2.16151,3.91007,1.40341,1.62450,4.16381
01820,1.31080,1.38975,4.26973,0.73173,3.09253,3.32179
01821,1.10224,4.76777,3.12371,0.95297,1.01488,4.40432
01822,1.18616,0.79220,4.71454,0.55691,2.02340,3.57169
01823,1.37739,2.76249,3.69452,1.57972,5.53206,3.15087
01824,1.25837,5.15903,3.11274,1.85106,5.51398,3.22256
01825,1.35489,2.60626,3.73794,0.69493,1.67284,3.83310
01826,1.39153,1.73092,4.10501,0.66412,2.48099,3.47106
01827,1.04607,1.32138,4.21557,1.10902,0.79554,4.68168
01828,1.18335,3.43687,3.43885,0.34375,1.21260,3.80687
01829,1.34564,4.10231,3.34094,0.86827,3.28876,3.34266
01830,1.37905,3.17737,3.57351,1.48159,4.74153,3.25696
01831,1.01528,0.56023,4.94792,0.63269,2.86455,3.32514
01832,1.15078,5.59292,3.00378,1.00657,4.99775,3.04336
01833,1.03946,4.11665,3.22579,0.66302,1.83112,3.73416
01834,1.00238,4.13990,3.20512,1.30107,0.99722,4.55479
01835,1.20383,0.98176,4.53462,1.62449,3.65987,3.52186
01836,1.05898,2.65107,3.61611,1.10015,5.15896,3.05439
01837,1.35474,2.30159,3.84587,0.28276,0.42379,4.63517
01838,1.03512,2.64173,3.60928,0.93653,1.81364,3.89249
01839,1.18884,2.49545,3.71889,1.39811,5.48177,3.10577
01840,1.09120,1.08680,4.40367,0.88870,4.55816,3.06924
01841,1.10380,4.95513,3.09085,0.13089,1.09006,3.48007
01842,1.03660,1.60299,4.04382,0.69630,0.44488,4.98438
01843,1.21205,0.62987,4.92308,1.65545,5.68535,3.14747
01844,1.23039,5.00852,3.12869,0.67499,1.08142,4.19938
01845,1.33723,3.48964,3.47871,1.95437,0.80827,4.91396
01846,1.29091,2.13437,3.89042,1.16708,1.31848,4.26502
01847,1.27117,0.69103,4.86328,0.69330,0.57694,4.75672
01848,1.15592,1.92273,3.93316,0.86423,0.61798,4.79275
01849,1.11365,0.88759,4.58839,1.34812,0.74893,4.81891
01850,1.14579,1.08677,4.42490,1.44476,2.17583,3.92262
01851,1.02381,1.01791,4.43287,1.20861,4.85602,3.14779
01852,1.28766,3.16289,3.54770,1.59141,5.63444,3.13815
01853,1.39920,2.05213,3.95954,1.17433,1.33359,4.25781
01854,1.16586,1.04826,4.46378,1.33572,2.92114,3.63268
01855,1.26906,0.94067,4.59468,1.32144,2.90743,3.63210
01856,1.23133,2.23700,3.82911,0.35464,1.15633,3.86169
01857,1.36786,4.26093,3.31510,1.37931,0.64614,4.95708
01858,1.19245,0.68066,4.84865,0.20312,0.72973,4.01950
01859,1.33541,3.29762,3.52728,1.68799,1.67002,4.22000
01860,1.19771,1.74025,4.03520,1.36154,1.38920,4.28657
01861,1.08182,3.24522,3.44973,0.17079,1.97379,3.07992
01862,1.01231,2.80904,3.54627,0.99676,3.33092,3.39153
01863,1.11487,4.02325,3.27614,0.16942,1.07379,3.60519
01864,1.30328,1.31152,4.31756,0.73726,1.07911,4.23956
01865,1.14414,2.67770,3.64103,1.03825,0.89777,4.54804
01866,1.24643,1.55447,4.15057,0.37313,0.42918,4.74465
01867,1.03801,3.73757,3.30909,0.99565,0.81545,4.61338
01868,1.03165,4.55705,3.13423,0.41812,0.58113,4.53082
01869,1.36340,1.48872,4.22706,1.40376,1.16510,4.45263
01870,1.00140,0.80066,4.63178,1.04994,1.29466,4.23492
01871,1.12672,1.11479,4.39550,0.86723,2.12664,3.72082
01872,1.29088,0.96983,4.57556,0.34303,0.95389,4.01440
01873,1.15026,1.83313,3.97248,0.44852,1.48886,3.74414
01874,1.05658,5.33307,3.00801,0.21400,0.30828,4.79059
01875,1.17635,1.57686,4.11302,1.31378,2.29872,3.83362
01876,1.29086,2.89924,3.62438,1.01159,1.19300,4.28979
01877,1.15390,1.28175,4.28463,1.22109,3.14882,3.52852
01878,1.28472,0.97450,4.56931,1.01816,4.39123,3.16071
01879,1.23024,1.19311,4.37470,0.49713,3.00876,3.17776
01880,1.31439,0.92672,4.62289,0.53602,3.67554,3.03661
01881,1.03197,3.33517,3.40550,0.28330,0.29389,4.95394
01882,1.36432,0.99455,4.57773,1.21525,5.70848,3.00969
01883,1.18877,0.71139,4.80895,1.50078,0.67724,4.95290
01884,1.17011,5.02558,3.10392,1.52371,0.71690,4.91005
01885,1.38314,1.91376,4.01516,2.05855,1.13875,4.63877
01886,1.24655,1.93657,3.95971,0.17658,1.81499,3.16726
01887,1.33312,3.77603,3.40887,0.36422,1.56158,3.61231
01888,1.23490,3.57243,3.42377,0.82598,2.47583,3.56760
01889,1.15546,0.85827,4.63357,0.94763,0.55073,4.93283
01890,1.37386,1.13099,4.46910,1.76789,2.85056,3.77566
01891,1.04817,0.74465,4.71460,0.28244,0.53971,4.42467
01892,1.29173,2.31847,3.81884,0.75576,2.71196,3.44989
01893,1.11762,2.23494,3.78783,0.24171,0.33544,4.77012
01894,1.14253,0.90436,4.58325,1.10042,2.60651,3.64751
01895,1.18126,0.94874,4.55612,1.71592,1.81599,4.15434
01896,1.10365,1.22929,4.30159,1.39264,1.70505,4.11843
01897,1.06300,2.67240,3.61080,0.60314,2.61976,3.38196
01898,1.08202,1.16798,4.33743,1.47754,4.23985,3.35290
01899,1.38774,5.49385,3.10062,0.23859,1.11964,3.71756
01900,1.25986,4.91876,3.15468,0.59444,3.58981,3.10203
01901,1.11656,1.87962,3.93781,1.08334,2.05178,3.84857
01902,1.39425,1.16815,4.44741,1.69772,1.18554,4.52010
01903,1.26825,4.71500,3.19431,1.74339,1.01398,4.66740
01904,1.31647,1.00009,4.55740,0.84649,1.84214,3.83505
01905,1.35289,1.15800,4.44191,0.76872,1.22819,4.14530
01906,1.14704,2.45379,3.71797,0.68221,3.29822,3.23543
01907,1.03721,1.00378,4.45065,0.60788,0.75880,4.46163
01908,1.10191,3.39099,3.41956,1.43702,3.48516,3.51109
01909,1.36022,1.93786,3.99703,1.76283,2.85395,3.77338
