simulation,period,t0,ecc,per0,q,sma,incl,reqv1,reqv2,teff1,teff2,grb1,grb2,alb1,alb2,l3
01242,3.94931,-0.15144,0.00000,0.00000,0.74425,13.89408,59.84483,2.51295,1.00144,10316.32796,6495.44100,0.26512,0.64520,0.02168,0.49053,0.00000
01243,2.29060,-0.50802,0.00000,0.00000,1.19835,9.52406,48.70291,0.79067,1.07800,11383.84853,13453.48375,0.50300,0.37818,0.81218,0.00839,0.00000
01244,8.78563,0.76722,0.00000,0.00000,0.90188,23.54584,48.15238,3.24110,0.76368,9661.94103,13473.23335,0.37410,0.64417,0.55756,0.51844,0.00000
01245,15.96526,0.63279,0.00000,0.00000,0.74665,35.33444,56.32772,1.91622,3.53970,5643.84315,3675.91337,0.15497,0.69379,0.91794,0.53570,0.00000
01246,16.75494,-0.45040,0.00000,0.00000,0.50947,33.26705,85.95569,5.62719,3.81247,14893.27302,6358.29863,0.37995,0.27592,0.03813,0.19639,0.00000
01247,20.15091,0.73480,0.00000,0.00000,0.52395,39.10487,71.95285,1.45603,0.59082,8280.55767,10386.09276,0.89558,0.79502,0.09018,0.00283,0.00000
01248,20.60003,-0.14457,0.00000,0.00000,1.17753,43.70665,52.08395,0.67253,1.16357,8201.29573,8730.01073,0.54607,0.39904,0.06938,0.94062,0.00000
01249,6.68033,-0.85317,0.00000,0.00000,0.30425,16.58619,74.82580,3.21601,0.57078,8703.62386,8933.60813,0.69777,0.38751,0.40141,0.99774,0.00000
01250,1.54262,-0.88307,0.00000,0.00000,1.26808,7.85132,82.64375,3.62354,2.32398,11530.96558,4184.10228,0.84415,0.61522,0.71576,0.02683,0.00000
01251,4.39592,0.73739,0.00000,0.00000,0.75582,15.08144,89.17852,2.47584,3.11501,9095.78960,12666.67742,0.04893,0.32761,0.14013,0.10294,0.00000
01252,21.63588,-0.51509,0.00000,0.00000,0.89106,42.59713,46.72292,4.42281,1.10175,4621.02781,12210.24532,0.79080,0.49774,0.39274,0.47108,0.00000
01253,5.13564,0.83097,0.00000,0.00000,1.21251,17.56581,68.04537,3.81328,4.24310,5615.53411,8162.53330,0.65001,0.25854,0.55141,0.83415,0.00000
01254,5.95601,-0.03905,0.00000,0.00000,0.36606,16.34417,84.78145,1.29282,0.89630,4305.67599,5376.80981,0.58476,0.87807,0.88540,0.43571,0.00000
01255,18.80675,0.48935,0.00000,0.00000,1.15448,40.33155,50.06865,3.89372,1.37758,4228.68190,6992.02965,0.21565,0.00593,0.79588,0.91129,0.00000
01256,11.47831,0.53306,0.00000,0.00000,1.29404,29.40862,68.27006,4.80842,5.76416,5204.49075,6694.50874,0.53564,0.86729,0.85460,0.85456,0.00000
01257,5.45060,-0.08608,0.00000,0.00000,0.77206,17.60434,68.19329,1.13938,0.72112,13507.86807,9193.54559,0.46963,0.89375,0.56708,0.67253,0.00000
01258,21.88322,-0.88821,0.00000,0.00000,0.52412,41.24586,76.31504,0.94775,3.06830,5317.25067,11330.12203,0.08445,0.92848,0.78051,0.28087,0.00000
01259,5.20813,0.16602,0.00000,0.00000,0.43471,15.24275,56.03211,1.32762,1.39621,4290.80164,13272.05742,0.08680,0.91774,0.51436,0.23944,0.00000
01260,21.47710,-0.96270,0.00000,0.00000,0.45463,40.54510,49.71949,0.67448,0.60161,7793.01815,7372.70132,0.33918,0.42503,0.32345,0.79864,0.00000
01261,22.30590,-0.47488,0.00000,0.00000,1.21899,46.61934,82.68317,0.76002,1.66700,6780.24235,5732.24849,0.36870,0.77831,0.73769,0.19795,0.00000
01262,18.28669,-0.86765,0.00000,0.00000,0.34734,33.38022,82.42661,0.64718,1.70050,4342.26270,13996.89363,0.43034,0.53705,0.74419,0.57778,0.00000
01263,23.96783,-0.05598,0.00000,0.00000,0.52938,43.98057,68.53111,1.08244,0.95260,13457.37267,5663.04067,0.95697,0.73426,0.00575,0.02466,0.00000
01264,4.76400,0.30389,0.00000,0.00000,0.94648,15.34032,69.03188,1.54717,4.81979,3824.16085,6551.62009,0.80004,0.54317,0.46220,0.04347,0.00000
01265,15.61943,0.87408,0.00000,0.00000,1.35713,37.98479,49.30700,0.61062,3.08936,3968.74964,13575.17997,0.39480,0.84977,0.45624,0.96779,0.00000
01266,20.94951,-0.65109,0.00000,0.00000,1.15078,42.96953,72.07471,0.57708,1.98137,9115.04607,11443.01171,0.17398,0.33235,0.67245,0.50174,0.00000
01267,16.84449,-0.01638,0.00000,0.00000,1.03577,38.57158,57.09101,0.81512,1.84634,4296.56169,7207.36897,0.04374,0.12832,0.27047,0.52783,0.00000
01268,21.88097,-0.07280,0.00000,0.00000,0.82748,40.61040,47.65285,1.98438,1.87324,7396.91150,5536.97282,0.93644,0.79569,0.50883,0.98504,0.00000
01269,8.08101,0.12411,0.00000,0.00000,0.92402,22.18099,52.42684,5.47565,4.94490,10674.39065,4558.16787,0.39668,0.85919,0.49789,0.08752,0.00000
01270,20.55979,-0.37772,0.00000,0.00000,0.81429,40.26668,71.31282,0.81928,0.60689,7705.20754,7882.74150,0.43395,0.84426,0.25274,0.56540,0.00000
01271,7.61424,-0.68072,0.00000,0.00000,0.61365,21.28790,84.57004,3.88653,0.85847,7011.92931,8404.38801,0.39376,0.37395,0.35336,0.81737,0.00000
01272,8.34744,0.63646,0.00000,0.00000,1.19480,24.75684,68.85610,4.77608,0.97980,12075.58310,11408.49414,0.55171,0.55800,0.33728,0.65310,0.00000
01273,19.11598,-0.58860,0.00000,0.00000,1.16917,42.02569,70.15567,5.53170,0.82474,9285.44405,11476.52631,0.87738,0.24367,0.91004,0.82495,0.00000
01274,21.22680,0.98582,0.00000,0.00000,0.69049,41.77105,77.27170,1.64725,1.73572,13902.41355,11316.32675,0.01917,0.70751,0.64758,0.42004,0.00000
01275,20.41303,-0.54112,0.00000,0.00000,0.22396,34.71464,86.23350,0.62277,0.34063,6567.15435,14491.80382,0.66846,0.76773,0.94167,0.07775,0.00000
01276,9.27133,-0.03264,0.00000,0.00000,0.19387,21.80943,68.58831,1.82643,2.24234,13699.00716,13729.33989,0.85653,0.23086,0.22864,0.20164,0.00000
01277,3.19940,-0.21229,0.00000,0.00000,0.44997,10.59614,81.51039,2.31448,3.05402,7504.92956,6142.84215,0.40428,0.81854,0.86107,0.82275,0.00000
01278,1.80645,0.34528,0.00000,0.00000,0.29441,6.82450,46.17078,2.45960,0.46554,8574.45947,12126.13652,0.79770,0.20461,0.65164,0.33525,0.00000
01279,2.30933,0.42751,0.00000,0.00000,0.45262,8.59617,80.96029,1.25421,0.45872,13860.73338,3853.90462,0.35365,0.50915,0.55044,0.84404,0.00000
01280,24.16400,0.86160,0.00000,0.00000,0.69622,45.23969,81.70960,1.56025,1.58461,7818.84873,7287.27873,0.59821,0.00544,0.61159,0.17354,0.00000
01281,17.81592,0.61086,0.00000,0.00000,0.80815,37.65677,86.04301,4.65506,1.67155,7069.03336,4918.98769,0.62803,0.38713,0.33186,0.30442,0.00000
01282,15.32983,-0.03011,0.00000,0.00000,0.18499,30.00724,52.63364,1.44490,1.75467,3694.90143,13818.79403,0.40788,0.13714,0.36000,0.47240,0.00000
01283,6.51002,0.40441,0.00000,0.00000,1.29659,20.08519,63.10449,1.51333,2.82108,11081.88993,7127.22227,0.27355,0.70776,0.28032,0.10861,0.00000
01284,16.31071,0.51792,0.00000,0.00000,0.73777,35.42062,70.54273,1.71599,0.85787,5985.35181,10507.79230,0.36015,0.54264,0.59620,0.68499,0.00000
01285,2.47044,0.56304,0.00000,0.00000,1.22974,10.84728,63.79139,0.69507,2.49285,4619.52782,11425.99308,0.96133,0.13319,0.51039,0.41836,0.00000
01286,10.21534,-0.22908,0.00000,0.00000,0.36024,23.59697,82.56726,1.01650,1.87658,9986.70685,8002.69069,0.48297,0.58392,0.81762,0.00274,0.00000
01287,5.45274,-0.58635,0.00000,0.00000,0.83983,16.39661,63.28386,1.04420,0.86553,4340.03275,7538.14308,0.27824,0.34153,0.40711,0.56552,0.00000
01288,19.12259,0.54290,0.00000,0.00000,0.52286,35.73808,76.15421,1.66046,0.81462,7198.45685,10121.50360,0.47652,0.37357,0.14306,0.90142,0.00000
01289,17.86422,-0.69342,0.00000,0.00000,0.60141,34.45107,73.83029,0.61943,2.39111,4018.00101,11914.37475,0.52767,0.05076,0.77443,0.71996,0.00000
01290,4.07197,0.87145,0.00000,0.00000,0.87314,14.62920,83.61289,2.24609,1.32505,9265.37635,7891.40902,0.03266,0.73822,0.70740,0.83168,0.00000
01291,14.13494,-0.89523,0.00000,0.00000,0.20854,28.61661,72.68630,0.68655,1.66055,6549.32795,6496.04780,0.01450,0.75181,0.70708,0.05899,0.00000
01292,8.56663,-0.01018,0.00000,0.00000,0.81899,23.19661,82.13691,1.96670,0.56132,9733.80560,14105.76785,0.55136,0.47547,0.30726,0.04827,0.00000
01293,6.70222,0.84049,0.00000,0.00000,0.79542,18.33521,69.82231,0.74197,2.97493,9036.60102,9576.17687,0.11180,0.60793,0.89758,0.40864,0.00000
01294,18.87346,-0.89838,0.00000,0.00000,1.14873,41.76208,50.32447,1.45755,1.70993,5734.09130,12422.88622,0.05677,0.50773,0.09625,0.28973,0.00000
01295,8.71577,-0.35689,0.00000,0.00000,0.65984,21.97757,46.09527,1.71875,1.02608,4212.54183,4760.45928,0.93262,0.65677,0.01769,0.63349,0.00000
01296,12.47600,0.38025,0.00000,0.00000,0.98725,29.96103,87.20846,2.30628,3.69686,14868.89608,14507.29838,0.48793,0.17139,0.17466,0.89302,0.00000
01297,11.55792,-0.10898,0.00000,0.00000,0.33189,24.19571,77.23860,3.13485,1.63574,13979.53462,3542.48923,0.98475,0.93339,0.75142,0.09953,0.00000
01298,2.76702,0.50682,0.00000,0.00000,0.47164,10.17522,88.98009,4.11381,0.43377,6822.35081,8561.22601,0.41630,0.44926,0.45415,0.81496,0.00000
01299,11.01726,0.71780,0.00000,0.00000,0.62246,24.49538,71.57759,0.91343,0.75541,12565.50272,13567.21593,0.95093,0.18508,0.15183,0.51346,0.00000
01300,23.05546,-0.64764,0.00000,0.00000,0.10415,37.75491,84.42021,3.57889,0.55786,11454.68844,7516.36189,0.02238,0.85678,0.33148,0.55891,0.00000
01301,5.60504,-0.13234,0.00000,0.00000,1.29456,18.09404,65.18793,4.25488,2.52192,13151.08686,12806.12422,0.78751,0.42574,0.87489,0.41167,0.00000
01302,6.47557,0.92087,0.00000,0.00000,0.78868,19.49364,87.10050,0.75773,0.70638,8610.91095,3743.13132,0.90246,0.89642,0.32981,0.48091,0.00000
01303,15.37806,0.49903,0.00000,0.00000,1.17894,35.09803,83.22821,2.27442,2.88646,9338.15159,5040.44901,0.83896,0.10271,0.36981,0.06823,0.00000
01304,23.19834,0.41481,0.00000,0.00000,0.48501,42.88707,77.79538,0.63111,0.77192,4380.42175,7310.56892,0.76842,0.23026,0.09602,0.05581,0.00000
01305,18.25718,-0.27485,0.00000,0.00000,1.17859,42.21592,86.12363,4.58829,0.80142,13692.09194,8856.62396,0.09725,0.73596,0.97878,0.00921,0.00000
01306,0.68658,-0.65406,0.00000,0.00000,1.09145,4.44848,54.37106,1.67877,1.83190,11302.69122,10373.80984,0.21266,0.70015,0.05233,0.61763,0.00000
01307,4.12871,-0.80626,0.00000,0.00000,0.15020,12.31877,79.22569,0.60973,0.49660,3642.96749,14044.66014,0.46543,0.67644,0.21802,0.08854,0.00000
01308,19.63837,-0.41065,0.00000,0.00000,1.31906,44.18741,46.28737,3.88449,2.07086,9907.29332,7737.10021,0.66140,0.60759,0.02858,0.94118,0.00000
01309,10.83914,-0.84665,0.00000,0.00000,1.00753,26.08883,85.45535,0.83641,4.42862,8917.07098,13058.07763,0.50069,0.24023,0.57844,0.30090,0.00000
01310,13.48540,-0.34213,0.00000,0.00000,0.80811,29.57430,65.43887,0.81812,1.03962,7204.74021,9196.80451,0.78135,0.16791,0.24242,0.59814,0.00000
01311,17.91222,-0.33523,0.00000,0.00000,0.56388,35.85496,84.09124,4.31064,0.86481,10103.61506,10261.56226,0.50247,0.20863,0.92992,0.16001,0.00000
01312,10.42572,0.21393,0.00000,0.00000,1.27266,28.18728,79.82661,2.82657,1.82789,6904.02974,10512.05638,0.70465,0.94590,0.75415,0.59436,0.00000
01313,20.28614,-0.36719,0.00000,0.00000,0.65687,38.17968,61.72008,1.87791,2.58066,6526.33807,13592.06369,0.77199,0.13512,0.42193,0.98466,0.00000
01314,20.62477,0.76632,0.00000,0.00000,0.20380,35.04501,76.88604,4.34546,1.09048,14957.35604,5305.90256,0.59060,0.46627,0.96169,0.88633,0.00000
01315,5.24364,0.45779,0.00000,0.00000,0.95345,16.00649,87.06666,0.92028,1.54068,11430.93023,11159.85618,0.95789,0.92250,0.55380,0.30937,0.00000
01316,12.07558,0.32803,0.00000,0.00000,1.37636,29.85434,84.98705,0.87421,1.60304,11492.69942,9240.65421,0.60338,0.04447,0.40009,0.37975,0.00000
01317,3.34110,-0.69407,0.00000,0.00000,1.44257,13.38786,64.74748,3.17336,2.68223,14851.13341,8994.32313,0.23972,0.28887,0.70206,0.56507,0.00000
01318,19.76565,0.59513,0.00000,0.00000,1.33529,44.86616,47.51029,2.59206,4.84129,4393.13677,13518.27561,0.95217,0.44432,0.40144,0.39942,0.00000
01319,8.27613,-0.01582,0.00000,0.00000,0.21607,19.73074,65.90359,0.66847,0.32367,11273.88597,8230.64738,0.02763,0.78630,0.59298,0.58300,0.00000
01320,4.05338,-0.29435,0.00000,0.00000,0.86450,14.13183,61.85540,1.20440,2.43259,5876.20772,5571.90549,0.54748,0.96430,0.44705,0.78096,0.00000
01321,12.47890,0.72704,0.00000,0.00000,0.68030,30.00268,61.58148,1.36047,1.90834,5021.28905,5664.58377,0.14290,0.68218,0.42258,0.33102,0.00000
01322,17.42276,-0.45563,0.00000,0.00000,1.00395,38.66352,80.65724,3.13542,1.02052,9378.26326,12881.95131,0.29783,0.59361,0.25889,0.61027,0.00000
01323,12.84910,-0.98553,0.00000,0.00000,0.43873,27.75619,69.09609,1.20950,0.44795,9957.80041,3785.13848,0.04345,0.78562,0.49880,0.68874,0.00000
01324,8.28588,0.52339,0.00000,0.00000,0.70219,22.79398,48.70662,0.73920,2.64375,8928.64067,5610.78085,0.87609,0.41948,0.13281,0.98445,0.00000
01325,24.93864,0.17843,0.00000,0.00000,1.32397,48.62303,86.59589,1.27730,2.56644,8115.44360,14537.50477,0.80617,0.49340,0.82794,0.65365,0.00000
01326,19.26750,0.34922,0.00000,0.00000,0.51299,37.44738,55.74317,1.21727,1.00883,12044.93448,7138.66785,0.32031,0.28623,0.21538,0.86330,0.00000
01327,10.61464,0.40471,0.00000,0.00000,0.79097,25.79915,64.21646,2.36992,4.88478,10611.56304,13110.30921,0.24836,0.67725,0.68844,0.22285,0.00000
01328,14.56137,0.34192,0.00000,0.00000,0.70692,31.71001,45.74233,1.75263,3.47626,14909.68683,4654.71715,0.03094,0.16153,0.72610,0.54233,0.00000
01329,7.61918,-0.79044,0.00000,0.00000,0.43642,18.71457,84.77274,2.30452,0.64942,10678.81186,12790.89939,0.92499,0.16701,0.30476,0.75184,0.00000
01330,23.04670,-0.76959,0.00000,0.00000,0.69589,44.77226,73.28289,1.77623,3.29598,9594.54297,14208.62995,0.45973,0.95774,0.21902,0.94857,0.00000
01331,8.05000,-0.89146,0.00000,0.00000,0.48387,19.49331,76.59437,2.73194,0.80869,13577.98185,11967.46040,0.22390,0.72411,0.55190,0.62872,0.00000
01332,6.29669,-0.27377,0.00000,0.00000,0.31482,15.85461,58.18398,0.70700,2.49355,6504.01306,8868.38827,0.61130,0.15287,0.76857,0.27391,0.00000
01333,23.55801,-0.53946,0.00000,0.00000,0.20749,36.84342,69.32218,0.95457,1.27542,8985.10941,6441.72817,0.56245,0.52350,0.92014,0.41367,0.00000
01334,18.03617,0.90541,0.00000,0.00000,0.71909,38.65563,84.36673,1.52113,3.70703,9629.22706,3545.75630,0.75711,0.83252,0.11008,0.40649,0.00000
01335,17.40343,-0.51683,0.00000,0.00000,1.33745,38.30942,61.41596,2.36715,2.76455,4032.91041,9669.76006,0.51670,0.26942,0.39543,0.87277,0.00000
01336,2.86932,0.05819,0.00000,0.00000,0.14047,9.71216,76.34132,1.25190,0.76761,6465.62745,5623.85834,0.06561,0.26683,0.62957,0.79776,0.00000
01337,19.06172,-0.84798,0.00000,0.00000,0.83535,40.11606,82.00079,0.90362,2.47391,6892.96590,5401.43263,0.21368,0.96720,0.70449,0.88340,0.00000
01338,17.09853,0.91011,0.00000,0.00000,0.95803,35.52216,73.92001,0.76590,3.67106,13923.78810,7807.92733,0.97959,0.25599,0.58093,0.64225,0.00000
01339,6.99037,0.32032,0.00000,0.00000,1.18491,21.49704,88.15844,3.96150,0.79983,13441.18035,5140.87231,0.73976,0.55539,0.63588,0.44886,0.00000
01340,22.03128,-0.46387,0.00000,0.00000,0.19577,38.12408,84.31146,0.87088,2.08461,14052.72303,7470.99013,0.91327,0.42663,0.70398,0.10349,0.00000
01341,5.16383,0.65529,0.00000,0.00000,0.12340,14.24325,58.85274,2.24261,0.58644,8890.71526,13858.48774,0.64785,0.00789,0.83297,0.13110,0.00000
01342,4.16459,0.30709,0.00000,0.00000,0.15659,11.98620,69.99313,0.57729,0.24150,9170.98579,12027.94875,0.93322,0.51373,0.85855,0.14638,0.00000
01343,4.56339,0.99105,0.00000,0.00000,0.35404,14.09386,55.94503,4.77654,0.52577,5602.07665,9638.09615,0.33511,0.26473,0.83027,0.77227,0.00000
01344,15.20906,0.68024,0.00000,0.00000,0.48175,32.89886,47.49288,3.35189,1.41144,9841.75549,6083.25249,0.75043,0.77160,0.18078,0.48398,0.00000
01345,2.61203,0.43096,0.00000,0.00000,0.84026,10.80938,84.96236,1.58867,0.59555,5660.80590,4915.60579,0.42065,0.69349,0.35073,0.26192,0.00000
01346,18.31089,-0.75089,0.00000,0.00000,1.48387,42.09624,54.25735,0.89064,1.86396,11955.88470,4829.81615,0.42084,0.75837,0.52107,0.33481,0.00000
01347,2.56693,0.22619,0.00000,0.00000,0.85532,10.58643,65.94334,1.77200,1.07098,13428.07833,14684.49940,0.67117,0.64467,0.60501,0.62057,0.00000
01348,15.75078,0.62713,0.00000,0.00000,0.97031,34.18838,68.57677,2.74446,1.91943,6310.01037,3509.68226,0.86481,0.73913,0.32827,0.78942,0.00000
01349,24.49603,0.49718,0.00000,0.00000,1.15947,48.14582,78.62675,0.86960,5.41088,5567.88688,4064.23078,0.67418,0.28524,0.42516,0.66387,0.00000
01350,0.46055,-0.45691,0.00000,0.00000,1.42325,3.47508,77.19446,2.21095,4.50934,10139.83771,9726.89215,0.96773,0.69357,0.23806,0.32763,0.00000
01351,18.37891,-0.88748,0.00000,0.00000,0.62426,36.38101,57.82466,1.10570,0.57297,12330.19180,10727.86947,0.17849,0.64898,0.85418,0.56784,0.00000
01352,11.85001,0.34696,0.00000,0.00000,0.86338,30.05950,75.90057,1.41253,2.20267,7747.51811,9588.84447,0.60628,0.61780,0.31881,0.76509,0.00000
01353,24.48448,-0.36975,0.00000,0.00000,0.82885,44.72046,55.50501,0.65373,2.13280,5701.78119,4021.84792,0.66108,0.74578,0.14041,0.32017,0.00000
01354,22.78479,-0.76029,0.00000,0.00000,1.28721,49.25087,61.20575,3.95833,1.18901,11238.91130,13268.38946,0.37962,0.88299,0.52368,0.12615,0.00000
01355,13.48918,-0.90135,0.00000,0.00000,0.72318,31.92469,80.86105,1.35932,1.61558,6342.86704,9242.93175,0.18695,0.46303,0.15657,0.31141,0.00000
01356,7.02696,0.70858,0.00000,0.00000,1.04199,19.80674,59.96941,1.27395,5.41762,6920.43041,7181.45391,0.06970,0.98949,0.76946,0.02839,0.00000
01357,11.26297,0.98433,0.00000,0.00000,0.70298,26.21347,66.79076,3.27676,2.24251,10545.14430,9632.46940,0.07625,0.29708,0.11127,0.80679,0.00000
01358,19.24834,-0.63295,0.00000,0.00000,1.48635,44.11766,82.40713,3.31315,5.82272,11582.82007,8785.09265,0.42063,0.16017,0.11721,0.20272,0.00000
01359,19.98079,-0.92628,0.00000,0.00000,0.61276,39.03281,60.36879,0.83523,0.65925,8440.68437,8547.04760,0.47048,0.63575,0.43373,0.91274,0.00000
01360,24.65999,0.94974,0.00000,0.00000,0.81839,44.46711,83.19093,3.54120,2.78736,10696.95821,8430.58596,0.32159,0.84534,0.45694,0.91977,0.00000
01361,24.09997,-0.64829,0.00000,0.00000,0.71898,42.46583,77.02103,4.58050,3.94885,5005.49042,5456.16556,0.65379,0.18682,0.19671,0.38796,0.00000
01362,10.00844,-0.00868,0.00000,0.00000,0.58022,24.17679,54.21381,0.78435,2.14784,7938.89228,5450.58386,0.43187,0.46359,0.99703,0.56529,0.00000
01363,3.00962,-0.74635,0.00000,0.00000,0.89486,11.45313,68.58135,3.81619,0.63851,10938.57921,10071.25280,0.70336,0.36012,0.28026,0.00715,0.00000
01364,16.12111,0.36725,0.00000,0.00000,0.66254,34.87756,74.11783,3.89260,3.30854,12104.54138,3653.85781,0.50622,0.65716,0.41349,0.77122,0.00000
01365,6.86717,0.18936,0.00000,0.00000,0.84511,18.92597,48.23362,4.69247,3.42698,14964.50211,13190.34423,0.01538,0.83833,0.47799,0.09899,0.00000
01366,20.88755,-0.31679,0.00000,0.00000,1.49508,46.92003,70.37743,0.60967,2.61015,11158.77889,4373.58148,0.02985,0.27489,0.91805,0.64729,0.00000
01367,5.41148,0.66396,0.00000,0.00000,0.25883,14.60420,79.47688,0.63485,1.71539,13540.09258,7818.54304,0.22734,0.46392,0.96321,0.35983,0.00000
01368,3.79769,-0.29844,0.00000,0.00000,0.21571,12.06752,69.67477,1.62283,0.83391,8922.13045,3996.94689,0.70820,0.09198,0.16246,0.39722,0.00000
01369,24.07399,-0.41638,0.00000,0.00000,0.57991,44.23335,69.30874,1.80205,0.83204,6088.61719,13375.00875,0.67804,0.35842,0.65129,0.20703,0.00000
01370,18.37879,0.55506,0.00000,0.00000,1.11309,39.99316,66.98865,0.77917,0.91192,14217.66609,7766.01959,0.95037,0.84419,0.71320,0.44367,0.00000
01371,18.24428,0.56617,0.00000,0.00000,0.41378,36.56672,61.90532,1.72556,1.00009,3972.37833,14908.14854,0.61645,0.08839,0.70466,0.72070,0.00000
01372,1.14384,0.84170,0.00000,0.00000,1.21746,6.08838,47.76262,3.26216,2.31959,5596.81129,3692.72519,0.59066,0.26966,0.14195,0.51323,0.00000
01373,22.09489,0.92231,0.00000,0.00000,0.67619,39.71429,68.18547,0.88309,1.54756,3982.29143,8792.71388,0.77460,0.96663,0.54844,0.41427,0.00000
01374,22.73216,0.66460,0.00000,0.00000,1.00701,44.47680,88.83908,2.61261,5.58689,4781.01163,11387.76961,0.46403,0.72030,0.34863,0.74267,0.00000
01375,3.73191,-0.67888,0.00000,0.00000,0.46995,12.82661,45.96844,2.19514,2.24278,9135.44785,11261.82075,0.10913,0.11296,0.07589,0.89248,0.00000
01376,17.62284,0.97521,0.00000,0.00000,1.25963,40.53547,78.78082,0.71091,3.02924,13774.08578,6021.18059,0.94863,0.09099,0.17736,0.07219,0.00000
01377,3.41599,-0.38624,0.00000,0.00000,0.60818,12.20851,54.01620,1.16728,0.66781,10245.48367,13623.79839,0.68121,0.59859,0.47555,0.25283,0.00000
01378,5.69489,0.60366,0.00000,0.00000,0.44057,15.76794,57.12685,1.63630,2.38245,13663.25906,6785.16684,0.86943,0.20914,0.10217,0.20443,0.00000
01379,8.09384,-0.36995,0.00000,0.00000,0.79415,21.21455,60.87947,5.22663,0.50496,5953.90452,4882.03375,0.04614,0.74546,0.77821,0.98827,0.00000
01380,17.32234,-0.91685,0.00000,0.00000,0.22348,30.90590,45.42480,0.62176,0.41114,7379.77803,9954.21962,0.53371,0.59402,0.09547,0.89686,0.00000
01381,23.82872,0.04458,0.00000,0.00000,0.64432,43.55899,52.49605,4.86291,1.06288,10524.43110,13437.94687,0.51030,0.13300,0.60524,0.99162,0.00000
01382,12.43713,0.38218,0.00000,0.00000,0.22691,24.21215,49.04854,1.37724,0.50985,4772.03008,14927.65916,0.92719,0.76791,0.50712,0.30114,0.00000
01383,7.82732,-0.88084,0.00000,0.00000,0.83157,21.93027,51.54510,1.41409,2.16109,8146.52645,3830.95701,0.70003,0.47154,0.95839,0.88633,0.00000
01384,7.80670,-0.57351,0.00000,0.00000,0.66029,20.83341,61.83756,1.48897,2.34608,3770.19256,5121.62728,0.51547,0.33050,0.01612,0.45457,0.00000
01385,15.13982,-0.49281,0.00000,0.00000,0.95939,32.28249,56.33312,0.58473,1.24503,11772.20413,5658.09768,0.03476,0.13906,0.30757,0.36669,0.00000
01386,9.14148,0.96592,0.00000,0.00000,1.33771,26.38441,83.76173,0.65898,1.42635,8134.02331,12457.25987,0.30608,0.78844,0.93962,0.54804,0.00000
01387,3.50459,-0.42442,0.00000,0.00000,1.47024,14.30440,81.71182,0.86546,2.73913,12326.83629,4169.66432,0.27691,0.66487,0.78570,0.25971,0.00000
01388,0.28957,-0.82897,0.00000,0.00000,0.77369,2.36223,80.74170,5.29630,1.54014,4927.21206,13015.19814,0.39972,0.15292,0.00382,0.89711,0.00000
01389,7.21375,0.87163,0.00000,0.00000,0.46157,18.39172,80.01450,0.77936,1.64198,10950.71514,8086.71314,0.94082,0.65205,0.40839,0.38442,0.00000
01390,15.17171,0.53523,0.00000,0.00000,0.35429,31.17993,74.32324,2.78804,1.32335,4972.12118,5718.16472,0.17484,0.51254,0.62287,0.97306,0.00000
01391,7.80611,-0.87979,0.00000,0.00000,0.74904,21.24564,86.98015,1.75887,2.09584,4978.38443,12023.28623,0.91186,0.98539,0.72473,0.72016,0.00000
01392,8.70429,-0.53340,0.00000,0.00000,1.46788,24.75969,81.10315,1.62290,2.79235,8147.61107,10318.53205,0.77393,0.29829,0.58184,0.38715,0.00000
01393,4.11179,-0.85834,0.00000,0.00000,0.23040,12.08296,74.27637,3.59631,0.62648,7431.43706,6171.56386,0.02126,0.48607,0.14689,0.50677,0.00000
01394,10.53741,-0.04970,0.00000,0.00000,1.33467,28.49554,52.54048,4.55421,1.28426,3823.05486,13643.87638,0.30927,0.96526,0.57049,0.61508,0.00000
01395,1.88495,0.14613,0.00000,0.00000,1.20343,8.72170,78.97654,1.94794,3.27873,3925.20327,6078.30552,0.25005,0.05253,0.24087,0.44308,0.00000
01396,4.98079,-0.82852,0.00000,0.00000,1.47838,16.92962,89.36574,1.30262,0.72523,7689.70880,12875.73368,0.44825,0.05711,0.38150,0.58723,0.00000
01397,8.93313,0.76042,0.00000,0.00000,0.95994,22.72233,74.91500,2.76177,0.53081,13360.23496,7490.22518,0.96645,0.98999,0.15627,0.73418,0.00000
01398,22.96021,-0.82258,0.00000,0.00000,1.11119,48.32440,80.51331,4.85643,4.31723,7727.63305,10257.73901,0.44589,0.59285,0.68914,0.87103,0.00000
01399,23.56598,0.02596,0.00000,0.00000,0.57454,41.24584,48.38237,0.65505,0.72618,6959.62181,4169.52999,0.69872,0.33148,0.07808,0.39664,0.00000
01400,16.37756,-0.63588,0.00000,0.00000,1.29027,36.11099,59.70308,1.49892,5.36108,10804.80911,7823.86691,0.39245,0.34129,0.21672,0.15281,0.00000
01401,22.25375,0.92976,0.00000,0.00000,0.31348,38.10561,47.64131,2.31537,0.73628,13632.45513,7835.81653,0.35240,0.09153,0.22035,0.95318,0.00000
01402,6.35919,0.73000,0.00000,0.00000,1.04906,19.25912,89.17913,1.08573,3.43595,7235.77209,7761.37983,0.11470,0.17023,0.14957,0.61884,0.00000
01403,11.30030,-0.79695,0.00000,0.00000,0.11669,23.58479,85.75345,1.92648,0.58248,8042.13051,7811.82176,0.22279,0.37814,0.93649,0.46788,0.00000
